Date,PM10,PM2.5,SO2,NO2,CO,O3,Pb,AQI,Air QLTY,Station ID,Station Name
16-07-2015,30,,3,7,,,,,,8,Curchorem
21-07-2015,41,,4,9,,,,,,8,Curchorem
23-07-2015,35,,3,7,,,,,,8,Curchorem
28-07-2015,35,,3,9,,,,,,8,Curchorem
30-07-2015,40,,3,6,,,,,,8,Curchorem
05-08-2015,35,,3,9,,,,,,8,Curchorem
07-08-2015,36,,4,9,,,,,,8,Curchorem
12-08-2015,31,,3,7,,,,,,8,Curchorem
14-08-2015,30,,3,7,,,,,,8,Curchorem
19-08-2015,36,,4,9,,,,,,8,Curchorem
21-08-2015,34,,3,7,,,,,,8,Curchorem
25-08-2015,31,,3,7,,,,,,8,Curchorem
27-08-2015,47,,4,9,,,,,,8,Curchorem
01-09-2015,32,,3,7,,,,,,8,Curchorem
04-09-2015,31,,3,6,,,,,,8,Curchorem
08-09-2015,31,,3,7,,,,,,8,Curchorem
11-09-2015,33,,3,8,,,,,,8,Curchorem
15-09-2015,30,,3,7,,,,,,8,Curchorem
19-09-2015,36,,4,9,,,,,,8,Curchorem
22-09-2015,34,,3,8,,,,,,8,Curchorem
25-09-2015,33,,3,8,,,,,,8,Curchorem
03-10-2015,43,,4,9,,,,,,8,Curchorem
06-10-2015,43,,4,9,,,,,,8,Curchorem
09-10-2015,31,,4,9,,,,,,8,Curchorem
13-10-2015,32,,4,10,,,,,,8,Curchorem
16-10-2015,37,,4,9,,,,,,8,Curchorem
20-10-2015,31,,4,9,,,,,,8,Curchorem
23-10-2015,35,,4,9,,,,,,8,Curchorem
27-10-2015,46,,4,10,,,,,,8,Curchorem
30-10-2015,58,,4,9,,,,,,8,Curchorem
03-11-2015,65,,4,9,,,,,,8,Curchorem
07-11-2015,39,,4,9,,,,,,8,Curchorem
10-11-2015,51,,4,9,,,,,,8,Curchorem
13-11-2015,64,,4,9,,,,,,8,Curchorem
17-11-2015,55,,4,9,,,,,,8,Curchorem
20-11-2015,58,,4,10,,,,,,8,Curchorem
