Date,SO2,NO2,PM10,Station Name,Station ID
16-10-2015,4,9,37,Curchorem,8
20-10-2015,4,9,31,Curchorem,8
23-10-2015,4,9,35,Curchorem,8
27-10-2015,4,10,46,Curchorem,8
30-10-2015,4,9,58,Curchorem,8
11-03-2015,4,9,65,Curchorem,8
11-07-2015,4,9,39,Curchorem,8
11-10-2015,4,9,51,Curchorem,8
13-11-2015,4,9,64,Curchorem,8
17-11-2015,4,9,55,Curchorem,8
20-11-2015,4,10,58,Curchorem,8
24-11-2015,4,9,57,Curchorem,8
27-11-2015,4,9,49,Curchorem,8
12-01-2015,4,9,46,Curchorem,8
12-04-2015,4,9,51,Curchorem,8
12-08-2015,4,9,57,Curchorem,8
12-11-2015,4,9,68,Curchorem,8
15-12-2015,4,10,75,Curchorem,8
18-12-2015,4,10,70,Curchorem,8
22-12-2015,4,9,68,Curchorem,8
24-12-2015,4,9,71,Curchorem,8
29-12-2015,4,10,76,Curchorem,8
01-03-2015,4,9,77,Usgao,9
01-08-2015,4,9,57,Usgao,9
01-10-2015,4,9,70,Usgao,9
14-01-2015,4,9,79,Usgao,9
16-01-2015,4,9,80,Usgao,9
20-01-2015,4,10,80,Usgao,9
22-01-2015,4,9,71,Usgao,9
28-01-2015,4,9,69,Usgao,9
30-01-2015,4,8,87,Usgao,9
02-04-2015,4,9,67,Usgao,9
02-06-2015,4,9,77,Usgao,9
02-11-2015,4,9,71,Usgao,9
13-02-2015,4,9,72,Usgao,9
18-02-2015,4,9,67,Usgao,9
20-02-2015,4,9,72,Usgao,9
25-02-2015,4,9,67,Usgao,9
27-02-2015,4,9,62,Usgao,9
03-04-2015,4,9,68,Usgao,9
03-07-2015,4,9,53,Usgao,9
03-11-2015,4,9,57,Usgao,9
13-03-2015,4,9,74,Usgao,9
18-03-2015,5,11,55,Usgao,9
20-03-2015,4,9,52,Usgao,9
25-03-2015,4,9,61,Usgao,9
27-03-2015,5,9,78,Usgao,9
04-01-2015,4,9,47,Usgao,9
04-03-2015,4,9,44,Usgao,9
04-08-2015,4,9,36,Usgao,9
04-10-2015,4,9,78,Usgao,9
15-04-2015,3,7,77,Usgao,9
17-04-2015,4,9,68,Usgao,9
22-04-2015,4,9,69,Usgao,9
24-04-2015,4,9,67,Usgao,9
29-04-2015,4,9,56,Usgao,9
05-02-2015,4,9,52,Usgao,9
05-06-2015,4,9,47,Usgao,9
05-08-2015,4,9,57,Usgao,9
13-05-2015,5,9,62,Usgao,9
15-05-2015,4,9,57,Usgao,9
20-05-2015,4,9,52,Usgao,9
22-05-2015,4,9,51,Usgao,9
27-05-2015,4,9,42,Usgao,9
29-05-2015,4,9,47,Usgao,9
06-03-2015,3,7,30,Usgao,9
06-05-2015,4,9,36,Usgao,9
06-10-2015,4,8,32,Usgao,9
06-12-2015,3,6,34,Usgao,9
17-06-2015,5,11,45,Usgao,9
19-06-2015,2,5,41,Usgao,9
24-06-2015,4,9,50,Usgao,9
26-06-2015,4,9,40,Usgao,9
07-01-2015,3,6,38,Usgao,9
07-03-2015,4,9,61,Usgao,9
07-08-2015,3,7,35,Usgao,9
07-10-2015,4,8,53,Usgao,9
15-07-2015,3,8,38,Usgao,9
17-07-2015,3,8,59,Usgao,9
22-07-2015,3,6,40,Usgao,9
24-07-2015,3,7,45,Usgao,9
31-07-2015,3,7,34,Usgao,9
08-06-2015,3,8,40,Usgao,9
08-08-2015,4,9,42,Usgao,9
08-11-2015,3,7,37,Usgao,9
13-08-2015,4,8,35,Usgao,9
20-08-2015,2,5,31,Usgao,9
22-08-2015,4,8,40,Usgao,9
26-08-2015,3,7,38,Usgao,9
28-08-2015,4,7,39,Usgao,9
09-02-2015,3,8,34,Usgao,9
09-05-2015,3,8,34,Usgao,9
09-09-2015,4,9,36,Usgao,9
09-12-2015,3,7,32,Usgao,9
15-09-2015,4,10,32,Usgao,9
19-09-2015,3,8,40,Usgao,9
23-09-2015,3,7,32,Usgao,9
26-09-2015,3,6,31,Usgao,9
10-03-2015,4,9,45,Usgao,9
10-07-2015,4,9,42,Usgao,9
10-10-2015,4,9,30,Usgao,9
14-10-2015,4,9,39,Usgao,9
17-10-2015,4,9,31,Usgao,9
21-10-2015,4,9,45,Usgao,9
24-10-2015,4,9,33,Usgao,9
28-10-2015,4,9,62,Usgao,9
31-10-2015,4,9,57,Usgao,9
11-04-2015,4,9,55,Usgao,9
11-07-2015,4,9,59,Usgao,9
11-11-2015,4,9,35,Usgao,9
14-11-2015,4,9,55,Usgao,9
18-11-2015,4,9,43,Usgao,9
21-11-2015,4,9,38,Usgao,9
25-11-2015,4,9,52,Usgao,9
28-11-2015,4,9,53,Usgao,9
12-02-2015,4,8,56,Usgao,9
12-05-2015,4,9,53,Usgao,9
12-09-2015,4,9,47,Usgao,9
12-12-2015,4,10,60,Usgao,9
16-12-2015,4,9,59,Usgao,9
19-12-2015,4,9,58,Usgao,9
23-12-2015,4,9,50,Usgao,9
26-12-2015,4,10,66,Usgao,9
30-12-2015,4,9,52,Usgao,9
01-03-2015,5,10,88,Codli,10
01-08-2015,4,9,54,Codli,10
01-10-2015,4,9,49,Codli,10
14-01-2015,4,9,64,Codli,10
16-01-2015,4,9,68,Codli,10
20-01-2015,4,9,62,Codli,10
22-01-2015,4,9,52,Codli,10
28-01-2015,4,9,62,Codli,10
30-01-2015,4,9,84,Codli,10
02-04-2015,4,9,68,Codli,10
02-06-2015,4,9,66,Codli,10
02-11-2015,4,9,64,Codli,10
13-02-2015,4,9,60,Codli,10
18-02-2015,4,9,70,Codli,10
20-02-2015,4,10,79,Codli,10
25-02-2015,4,9,53,Codli,10
27-02-2015,4,10,60,Codli,10
03-04-2015,4,9,67,Codli,10
03-07-2015,4,9,76,Codli,10
03-11-2015,5,9,73,Codli,10
13-03-2015,4,9,56,Codli,10
18-03-2015,4,10,64,Codli,10
20-03-2015,4,9,57,Codli,10
25-03-2015,4,9,44,Codli,10
27-03-2015,4,9,48,Codli,10
04-01-2015,4,9,49,Codli,10
04-03-2015,4,8,35,Codli,10
04-08-2015,5,9,72,Codli,10
04-10-2015,5,9,74,Codli,10
15-04-2015,5,10,77,Codli,10
17-04-2015,4,9,68,Codli,10
