Date,PM10,Station ID
01-03-2020,52.83333333,5
01-04-2020,45,5
01-05-2020,59.66666667,5
01-06-2020,49.125,5
01-07-2020,44.33333333,5
01-08-2020,44.88888889,5
01-09-2020,46,5
01-10-2020,54.66666667,5
01-11-2020,58.125,5
01-12-2020,76.55555556,5
01-01-2021,63.55555556,5
01-02-2021,68.5,5
01-03-2021,69.11111111,5
01-04-2016,59.85,6
01-05-2016,52.08333333,6
01-06-2016,27.6375,6
01-07-2016,27.775,6
01-08-2016,17.87777778,6
01-09-2016,33.88888889,6
01-10-2016,37.7,6
01-11-2016,44.925,6
01-12-2016,61.95555556,6
01-01-2017,69.93333333,6
01-02-2017,67.7125,6
01-04-2017,82.75,6
01-05-2017,67.35555556,6
01-06-2017,42.06666667,6
01-07-2017,42.08888889,6
01-08-2017,47.86666667,6
01-09-2017,57.2625,6
01-10-2017,64.15555556,6
01-11-2017,74.44444444,6
01-12-2017,83.9375,6
01-01-2018,85.05,6
01-02-2018,109.9111111,6
01-03-2018,108.6444444,6
01-04-2018,74.57777778,6
01-05-2018,66.65555556,6
01-06-2018,36.425,6
01-07-2018,34.63333333,6
01-08-2018,52.38888889,6
01-10-2018,78.53,6
01-11-2018,66.90333333,6
01-12-2018,69.60666667,6
01-01-2019,113.9611111,6
01-02-2019,96.99125,6
01-03-2019,100.25,6
01-04-2019,75.125,6
01-05-2019,69.33333333,6
01-06-2019,43.44444444,6
01-07-2019,37.66666667,6
01-08-2019,38.11111111,6
01-09-2019,51.22222222,6
01-10-2019,56.44444444,6
01-11-2019,58.55555556,6
01-12-2019,61.625,6
01-01-2020,62.11111111,6
01-02-2020,78.77777778,6
01-03-2020,73.33333333,6
01-04-2020,66.33333333,6
01-05-2020,79.33333333,6
01-06-2020,57.22222222,6
01-07-2020,44.33333333,6
01-08-2020,44.375,6
01-09-2020,47.77777778,6
01-10-2020,52,6
01-11-2020,70.875,6
01-12-2020,96.55555556,6
01-01-2021,76,6
01-02-2021,82.75,6
01-03-2021,80.22222222,6
01-04-2016,54.5125,7
01-05-2016,66.1875,7
01-06-2016,56.74444444,7
01-07-2016,40.675,7
01-08-2016,37.72222222,7
01-09-2016,43.12222222,7
01-10-2016,65.35,7
01-11-2016,91.36666667,7
01-12-2016,77.9,7
01-01-2017,76.46666667,7
01-02-2017,70.0125,7
01-04-2018,69.5875,7
01-05-2018,59.56666667,7
01-06-2018,33.8125,7
01-07-2018,28.075,7
01-08-2018,37.35555556,7
01-10-2018,87.18333333,7
01-11-2018,70.88111111,7
01-12-2018,64.0175,7
01-01-2019,109.2611111,7
01-02-2019,99.30875,7
01-03-2019,93.09444444,7
01-04-2019,52.77777778,7
01-05-2019,49.33333333,7
01-06-2019,36,7
01-07-2019,35.66666667,7
01-08-2019,36.66666667,7
01-09-2019,49.88888889,7
01-10-2019,55.77777778,7
01-11-2019,62.25,7
01-12-2019,61.44444444,7
01-01-2020,68,7
01-02-2020,74.5,7
01-03-2020,71.5,7
01-04-2020,45.75,7
01-05-2020,65.875,7
01-06-2020,58.33333333,7
01-07-2020,46.11111111,7
01-08-2020,46.11111111,7
01-09-2020,49.125,7
01-10-2020,57.11111111,7
01-11-2020,65.22222222,7
01-12-2020,83.33333333,7
01-01-2021,67.75,7
01-02-2021,74.875,7
01-03-2021,79.55555556,7
01-04-2016,71.2,8
01-05-2016,45.81666667,8
01-06-2016,25.3,8
01-07-2016,27.48888889,8
01-08-2016,33.82222222,8
01-09-2016,32.01111111,8
01-10-2016,37.1875,8
01-11-2016,45.38888889,8
01-12-2016,58.34444444,8
01-01-2017,58.01111111,8
01-02-2017,66.0625,8
01-04-2017,65.5,8
01-05-2017,59.53333333,8
01-06-2017,44.36666667,8
01-07-2017,38.9125,8
01-08-2017,48.58888889,8
01-09-2017,50.31111111,8
01-10-2017,62.58888889,8
01-11-2017,68.5,8
01-12-2017,60.86666667,8
01-01-2018,71.51111111,8
01-02-2018,61.55,8
01-03-2018,71.44444444,8
01-04-2018,65.775,8
01-05-2018,64.6,8
01-06-2018,38.81477778,8
01-07-2018,31.18888889,8
01-08-2018,48.34444444,8
01-04-2016,64.35,9
01-05-2016,48.075,9
01-06-2016,56.46666667,9
01-07-2016,51.3125,9
01-08-2016,41.12222222,9
01-09-2016,42.25555556,9
01-10-2016,76.2,9
01-11-2016,98.68888889,9
01-12-2016,98.91111111,9
01-01-2017,106.7888889,9
01-02-2017,85.8,9
01-04-2017,136.3,9
01-05-2017,118.9666667,9
